월,날짜,MAU,유료전환율,유료사용자,ARPU_USD,MRR_USD,ARR_환산_USD,전환율_근거,MRR_산식
M0,2026-02,500,0%,0,0,0,0,MVP 출시 전,"MAU 500 x 0% x $0"
M1,2026-03,875,0%,0,0,0,0,유료 기능 미출시,"MAU 875 x 0% x $0"
M2,2026-04,1190,0%,0,0,0,0,유료 기능 미출시,"MAU 1190 x 0% x $0"
M3,2026-05,1478,3%,44,5,222,2664,"Freemium 평균 상단 (2-5%, RevenueCat)","MAU 1478 x 3% x $5"
M4,2026-06,1857,3%,56,5,279,3343,"동일 근거","MAU 1857 x 3% x $5"
M5,2026-07,2296,4%,92,5,459,5510,"Phase 2 기능으로 1%p 상승","MAU 2296 x 4% x $5"
M6,2026-08,3378,5%,169,5,845,10137,"Char.AI(1.3%)와 Replika(25%) 기하평균 ~5.7%","MAU 3378 x 5% x $5"
M7,2026-09,4561,5%,228,5,1140,13683,"동일 근거","MAU 4561 x 5% x $5"
M8,2026-10,6328,6%,380,5,1898,22774,"앱스토어 인앱결제 추가로 전환 용이","MAU 6328 x 6% x $5"
M9,2026-11,7987,7%,559,5,2796,33553,"제품 고도화 + 리텐션 개선","MAU 7987 x 7% x $5"
M10,2026-12,10112,8%,809,5,4045,48536,"Freemium 상위 25% 하단 (8-15%, First Page Sage)","MAU 10112 x 8% x $5"
M11,2027-01,12573,9%,1132,5,5658,67894,"Freemium 상위 25% 중간","MAU 12573 x 9% x $5"
M12,2027-02,15172,10%,1517,5,7586,91034,"워크샵 30%의 1/3. Replika 25%의 1/3. 삼각 검증 수렴","MAU 15172 x 10% x $5"
