월,날짜,CAC_USD,ARPU_월_USD,LTV_12개월_USD,LTV_CAC_비율,Payback_개월,Gross_Margin,월_AI_API비용_USD,월_인프라비용_USD,월_마케팅비용_USD,월_총비용_USD,월_손익_USD
M0,2026-02,0,0,0,0,0,0%,500,200,0,700,-700
M1,2026-03,0,0,0,0,0,0%,800,300,0,1100,-1100
M2,2026-04,0,0,0,0,0,0%,1200,400,500,2100,-2100
M3,2026-05,2,5,60,30,0.4,65%,2000,500,1000,3500,-2750
M4,2026-06,2,5.3,64,32,0.4,65%,3000,600,1500,5100,-3500
M5,2026-07,2.5,5,60,24,0.5,65%,4000,800,2000,6800,-3800
M6,2026-08,3,6.2,74,25,0.5,60%,5500,1000,3000,9500,-4300
M7,2026-09,3,7.1,85,28,0.4,60%,7000,1200,4000,12200,-3300
M8,2026-10,3.5,7.4,89,25,0.5,60%,9000,1500,5000,15500,-1900
M9,2026-11,4,7.5,90,23,0.5,58%,12000,2000,6000,20000,300
M10,2026-12,4,7.8,94,24,0.5,58%,15000,2500,7000,24500,4500
M11,2027-01,4.5,7.3,88,20,0.6,55%,18000,3000,8000,29000,10500
M12,2027-02,5,7.4,89,18,0.7,55%,20000,3500,9000,32500,23000
